Name,Glyph,Character,Category,Description
Egrave,È,U+000C8,Latin Letters,E-grave
egrave;,è,U+000E8,Latin Letters,e-grave
egrave,è,U+000E8,Latin Letters,e-grave
egs;,⪖,U+02A96,Mathematical Symbols,equal-greater-slant
egsdot;,⪘,U+02A98,Mathematical Symbols,equal-greater-dot
el;,⪙,U+02A99,Mathematical Symbols,equal-less
Element;,∈,U+02208,Mathematical Symbols,element
elinters;,⏧,U+023E7,Technical Symbols,element-intersection
ell;,ℓ,U+02113,Latin Letters,ell
els;,⪕,U+02A95,Mathematical Symbols,equal-less-slant
elsdot;,⪗,U+02A97,Mathematical Symbols,equal-less-dot
Emacr;,Ē,U+00112,Latin Letters,E-macron
emacr;,ē,U+00113,Latin Letters,e-macron
empty;,∅,U+02205,Mathematical Symbols,empty
emptyset;,∅,U+02205,Mathematical Symbols,empty-set
EmptySmallSquare;,◻,U+025FB,Geometric Shapes,empty-small-square
emptyv;,∅,U+02205,Mathematical Symbols,empty
EmptyVerySmallSquare;,▫,U+025AB,Geometric Shapes,empty-very-small-square
emsp;, ,U+02003,Punctuation,em-space
emsp13;, ,U+02004,Punctuation,em-space-1/3
emsp14;, ,U+02005,Punctuation,em-space-1/4
ENG;,Ŋ,U+0014A,Latin Letters,ENG
eng;,ŋ,U+0014B,Latin Letters,eng
ensp;, ,U+02002,Punctuation,en-space
Eogon;,Ę,U+00118,Latin Letters,E-ogonek
eogon;,ę,U+00119,Latin Letters,e-ogonek
Eopf;,𝔼,U+1D53C,Latin Letters,E-double-struck
eopf;,𝕖,U+1D556,Latin Letters,e-double-struck
epar;,⋕,U+022D5,Mathematical Symbols,equal-parallel
eparsl;,⧣,U+029E3,Technical Symbols,equal-parallel-slant
eplus;,⩱,U+02A71,Mathematical Symbols,equal-plus
epsi;,ε,U+003B5,Greek Letters,epsilon
Epsilon;,Ε,U+00395,Greek Letters,Epsilon
epsilon;,ε,U+003B5,Greek Letters,epsilon
epsiv;,ϵ,U+003F5,Greek Letters,epsilon
eqcirc;,≖,U+02256,Mathematical Symbols,equal-circle
eqcolon;,≕,U+02255,Mathematical Symbols,equal-colon
eqsim;,≂,U+02242,Mathematical Symbols,equal-similar
eqslantgtr;,⪖,U+02A96,Mathematical Symbols,equal-slant-greater
eqslantless;,⪕,U+02A95,Mathematical Symbols,equal-slant-less
Equal;,⩵,U+02A75,Mathematical Symbols,equal
equals;,=,U+0003D,Mathematical Symbols,equal
EqualTilde;,≂,U+02242,Mathematical Symbols,equal-tilde
equest;,≟,U+0225F,Mathematical Symbols,equal-question
Equilibrium;,⇌,U+021CC,Arrows,equilibrium
equiv;,≡,U+02261,Mathematical Symbols,equivalent
equivDD;,⩸,U+02A78,Mathematical Symbols,equivalent-double-dot
eqvparsl;,⧥,U+029E5,Technical Symbols,equal-parallel-slant
erarr;,⥱,U+02971,Arrows,equal-right-arrow
erDot;,≓,U+02253,Mathematical Symbols,equal-rising-dot
Escr;,ℰ,U+02130,Latin Letters,E-script
escr;,ℯ,U+0212F,Latin Letters,e-script
esdot;,≐,U+02250,Mathematical Symbols,equal-dot
Esim;,⩳,U+02A73,Mathematical Symbols,equal-similar
esim;,≂,U+02242,Mathematical Symbols,equal-similar
Eta;,Η,U+00397,Greek Letters,Eta
eta;,η,U+003B7,Greek Letters,eta
ETH;,Ð,U+000D0,Latin Letters,ETH
ETH,Ð,U+000D0,Latin Letters,ETH
eth;,ð,U+000F0,Latin Letters,eth
eth,ð,U+000F0,Latin Letters,eth
Euml;,Ë,U+000CB,Latin Letters,E-diaeresis
Euml,Ë,U+000CB,Latin Letters,E-diaeresis
euml;,ë,U+000EB,Latin Letters,e-diaeresis
euml,ë,U+000EB,Latin Letters,e-diaeresis
euro;,€,U+020AC,Currency,euro
excl;,!,U+00021,Punctuation,exclamation
exist;,∃,U+02203,Mathematical Symbols,exist
Exists;,∃,U+02203,Mathematical Symbols,exist
expectation;,ℰ,U+02130,Latin Letters,expectation
ExponentialE;,ⅇ,U+02147,Latin Letters,exponential
exponentiale;,ⅇ,U+02147,Latin Letters,exponential
fallingdotseq;,≒,U+02252,Mathematical Symbols,falling-dot-equal
Fcy;,Ф,U+00424,Latin Letters,Cyrillic-F
fcy;,ф,U+00444,Latin Letters,Cyrillic-f
female;,♀,U+02640,Miscellaneous Symbols,female
ffilig;,ﬃ,U+0FB03,Latin Letters,ff-ligature
fflig;,ﬀ,U+0FB00,Latin Letters,ff-ligature
ffllig;,ﬄ,U+0FB04,Latin Letters,ff-ligature
Ffr;,𝔉,U+1D509,Latin Letters,F-fraktur
ffr;,𝔣,U+1D523,Latin Letters,f-fraktur
filig;,ﬁ,U+0FB01,Latin Letters,fi-ligature
FilledSmallSquare;,◼,U+025FC,Geometric Shapes,filled-small-square
FilledVerySmallSquare;,▪,U+025AA,Geometric Shapes,filled-very-small-square
fjlig;,fj,U+00066 U+0006A,Latin Letters,fj-ligature
flat;,♭,U+0266D,Miscellaneous Symbols,flat
fllig;,ﬂ,U+0FB02,Latin Letters,fl-ligature
fltns;,▱,U+025B1,Geometric Shapes,flatness
fnof;,ƒ,U+00192,Latin Letters,hooked-f
Fopf;,𝔽,U+1D53D,Latin Letters,F-double-struck
fopf;,𝕗,U+1D557,Latin Letters,f-double-struck
ForAll;,∀,U+02200,Mathematical Symbols,for-all
forall;,∀,U+02200,Mathematical Symbols,for-all
fork;,⋔,U+022D4,Mathematical Symbols,fork
forkv;,⫙,U+02AD9,Mathematical Symbols,vertical-fork
Fouriertrf;,ℱ,U+02131,Latin Letters,Fourier-transform
fpartint;,⨍,U+02A0D,Mathematical Symbols,partial-integral
frac12;,½,U+000BD,Mathematical Symbols,half
frac12,½,U+000BD,Mathematical Symbols,half
frac13;,⅓,U+02153,Mathematical Symbols,one-third
frac14;,¼,U+000BC,Mathematical Symbols,one-fourth
frac14,¼,U+000BC,Mathematical Symbols,one-fourth
frac15;,⅕,U+02155,Mathematical Symbols,one-fifth
frac16;,⅙,U+02159,Mathematical Symbols,one-sixth
frac18;,⅛,U+0215B,Mathematical Symbols,one-eighth
frac23;,⅔,U+02154,Mathematical Symbols,two-thirds
frac25;,⅖,U+02156,Mathematical Symbols,two-fifths
frac34;,¾,U+000BE,Mathematical Symbols,three-fourths
frac34,¾,U+000BE,Mathematical Symbols,three-fourths
frac35;,⅗,U+02157,Mathematical Symbols,three-fifths
frac38;,⅜,U+0215C,Mathematical Symbols,three-eighths
frac45;,⅘,U+02158,Mathematical Symbols,four-fifths
frac56;,⅚,U+0215A,Mathematical Symbols,five-sixths
frac58;,⅝,U+0215D,Mathematical Symbols,five-eighths
frac78;,⅞,U+0215E,Mathematical Symbols,seven-eighths
frasl;,⁄,U+02044,Punctuation,slash
frown;,⌢,U+02322,Technical Symbols,frown
Fscr;,ℱ,U+02131,Latin Letters,F-script
fscr;,𝒻,U+1D4BB,Latin Letters,f-script
gacute;,ǵ,U+001F5,Latin Letters,g-acute
Gamma;,Γ,U+00393,Greek Letters,Gamma
gamma;,γ,U+003B3,Greek Letters,gamma
Gammad;,Ϝ,U+003DC,Greek Letters,Gammad
gammad;,ϝ,U+003DD,Greek Letters,gammad
gap;,⪆,U+02A86,Mathematical Symbols,greater-approx
Gbreve;,Ğ,U+0011E,Latin Letters,G-breve
gbreve;,ğ,U+0011F,Latin Letters,g-breve
Gcedil;,Ģ,U+00122,Latin Letters,G-cedilla
Gcirc;,Ĝ,U+0011C,Latin Letters,G-circumflex
gcirc;,ĝ,U+0011D,Latin Letters,g-circumflex
Gcy;,Г,U+00413,Latin Letters,Cyrillic-G
gcy;,г,U+00433,Latin Letters,Cyrillic-g
Gdot;,Ġ,U+00120,Latin Letters,G-dot
gdot;,ġ,U+00121,Latin Letters,g-dot
gE;,≧,U+02267,Mathematical Symbols,greater-equal
ge;,≥,U+02265,Mathematical Symbols,greater-equal
gEl;,⪌,U+02A8C,Mathematical Symbols,greater-equal-less
gel;,⋛,U+022DB,Mathematical Symbols,greater-equal-less
geq;,≥,U+02265,Mathematical Symbols,greater-equal
geqq;,≧,U+02267,Mathematical Symbols,greater-equal
geqslant;,⩾,U+02A7E,Mathematical Symbols,greater-equal-slant
ges;,⩾,U+02A7E,Mathematical Symbols,greater-equal-slant
gescc;,⪩,U+02AA9,Mathematical Symbols,greater-equal-closed
gesdot;,⪀,U+02A80,Mathematical Symbols,greater-equal-dot
gesdoto;,⪂,U+02A82,Mathematical Symbols,greater-equal-dot-open
gesdotol;,⪄,U+02A84,Mathematical Symbols,greater-equal-dot-open-left
gesl;,⋛︀,U+022DB U+0FE00,Mathematical Symbols,greater-equal-slant
gesles;,⪔,U+02A94,Mathematical Symbols,greater-equal-less
Gfr;,𝔊,U+1D50A,Latin Letters,G-fraktur
gfr;,𝔤,U+1D524,Latin Letters,g-fraktur
Gg;,⋙,U+022D9,Mathematical Symbols,greater-greater
gg;,≫,U+0226B,Mathematical Symbols,greater-greater
ggg;,⋙,U+022D9,Mathematical Symbols,greater-greater
gimel;,ℷ,U+02137,Mathematical Symbols,gimel
GJcy;,Ѓ,U+00403,Latin Letters,Cyrillic-GJ
gjcy;,ѓ,U+00453,Latin Letters,Cyrillic-gj
gl;,≷,U+02277,Mathematical Symbols,greater-less
gla;,⪥,U+02AA5,Mathematical Symbols,greater-less-approx
glE;,⪒,U+02A92,Mathematical Symbols,greater-less-equal
glj;,⪤,U+02AA4,Mathematical Symbols,greater-less-joint
gnap;,⪊,U+02A8A,Mathematical Symbols,greater-not-approx
gnapprox;,⪊,U+02A8A,Mathematical Symbols,greater-not-approx
gnE;,≩,U+02269,Mathematical Symbols,greater-not-equal
gne;,⪈,U+02A88,Mathematical Symbols,greater-not-equal
gneq;,⪈,U+02A88,Mathematical Symbols,greater-not-equal
gneqq;,≩,U+02269,Mathematical Symbols,greater-not-equal
gnsim;,⋧,U+022E7,Mathematical Symbols,greater-not-similar
Gopf;,𝔾,U+1D53E,Latin Letters,G-double-struck
gopf;,𝕘,U+1D558,Latin Letters,g-double-struck
grave;,`,U+00060,Punctuation,grave
GreaterEqual;,≥,U+02265,Mathematical Symbols,greater-equal
GreaterEqualLess;,⋛,U+022DB,Mathematical Symbols,greater-equal-less
GreaterFullEqual;,≧,U+02267,Mathematical Symbols,greater-full-equal
GreaterGreater;,⪢,U+02AA2,Mathematical Symbols,greater-greater
GreaterLess;,≷,U+02277,Mathematical Symbols,greater-less
GreaterSlantEqual;,⩾,U+02A7E,Mathematical Symbols,greater-slant-equal
GreaterTilde;,≳,U+02273,Mathematical Symbols,greater-tilde
Gscr;,𝒢,U+1D4A2,Latin Letters,G-script
gscr;,ℊ,U+0210A,Latin Letters,g-script
gsim;,≳,U+02273,Mathematical Symbols,greater-similar
gsime;,⪎,U+02A8E,Mathematical Symbols,greater-similar-equal
gsiml;,⪐,U+02A90,Mathematical Symbols,greater-similar-less
GT;,>,U+0003E,Mathematical Symbols,greater
GT,>,U+0003E,Mathematical Symbols,greater
Gt;,≫,U+0226B,Mathematical Symbols,greater
gt;,>,U+0003E,Mathematical Symbols,greater
gt,>,U+0003E,Mathematical Symbols,greater
gtcc;,⪧,U+02AA7,Mathematical Symbols,greater-closed
gtcir;,⩺,U+02A7A,Mathematical Symbols,greater-circle
gtdot;,⋗,U+022D7,Mathematical Symbols,greater-dot
gtlPar;,⦕,U+02995,Technical Symbols,greater-left-paren
gtquest;,⩼,U+02A7C,Mathematical Symbols,greater-question
gtrapprox;,⪆,U+02A86,Mathematical Symbols,greater-approx
gtrarr;,⥸,U+02978,Arrows,greater-arrow
gtrdot;,⋗,U+022D7,Mathematical Symbols,greater-dot
gtreqless;,⋛,U+022DB,Mathematical Symbols,greater-equal-less
gtreqqless;,⪌,U+02A8C,Mathematical Symbols,greater-equal-less
gtrless;,≷,U+02277,Mathematical Symbols,greater-less
gtrsim;,≳,U+02273,Mathematical Symbols,greater-similar
gvertneqq;,≩︀,U+02269 U+0FE00,Mathematical Symbols,greater-not-equal
gvnE;,≩︀,U+02269 U+0FE00,Mathematical Symbols,greater-not-equal
Hacek;,ˇ,U+002C7,Punctuation,caron
hairsp;, ,U+0200A,Punctuation,hair-space
half;,½,U+000BD,Mathematical Symbols,half
hamilt;,ℋ,U+0210B,Latin Letters,Hamiltonian
HARDcy;,Ъ,U+0042A,Latin Letters,Cyrillic-HARD
hardcy;,ъ,U+0044A,Latin Letters,Cyrillic-hard
hArr;,⇔,U+021D4,Arrows,left-right-arrow
harr;,↔,U+02194,Arrows,left-right-arrow
harrcir;,⥈,U+02948,Arrows,left-right-arrow-circle
harrw;,↭,U+021AD,Arrows,left-right-arrow-wave
Hat;,^,U+0005E,Punctuation,caret
hbar;,ℏ,U+0210F,Latin Letters,h-bar
Hcirc;,Ĥ,U+00124,Latin Letters,H-circumflex
hcirc;,ĥ,U+00125,Latin Letters,h-circumflex
hearts;,♥,U+02665,Miscellaneous Symbols,heart
heartsuit;,♥,U+02665,Miscellaneous Symbols,heart
hellip;,…,U+02026,Punctuation,ellipsis
hercon;,⊹,U+022B9,Mathematical Symbols,hermitian-conjugate
Hfr;,ℌ,U+0210C,Latin Letters,H-fraktur
hfr;,𝔥,U+1D525,Latin Letters,h-fraktur
HilbertSpace;,ℋ,U+0210B,Latin Letters,Hilbert-space
hksearow;,⤥,U+02925,Arrows,hook-se-arrow
hkswarow;,⤦,U+02926,Arrows,hook-sw-arrow
hoarr;,⇿,U+021FF,Arrows,horizontal-arrow
homtht;,∻,U+0223B,Mathematical Symbols,homothetic
hookleftarrow;,↩,U+021A9,Arrows,hook-left-arrow
hookrightarrow;,↪,U+021AA,Arrows,hook-right-arrow
Hopf;,ℍ,U+0210D,Latin Letters,H-double-struck
hopf;,𝕙,U+1D559,Latin Letters,h-double-struck
horbar;,―,U+02015,Punctuation,horizontal-bar
HorizontalLine;,─,U+02500,Geometric Shapes,horizontal-line
Hscr;,ℋ,U+0210B,Latin Letters,H-script
hscr;,𝒽,U+1D4BD,Latin Letters,h-script
hslash;,ℏ,U+0210F,Latin Letters,h-bar
Hstrok;,Ħ,U+00126,Latin Letters,H-stroke
hstrok;,ħ,U+00127,Latin Letters,h-stroke
HumpDownHump;,≎,U+0224E,Mathematical Symbols,hump-down-hump
HumpEqual;,≏,U+0224F,Mathematical Symbols,hump-equal
hybull;,⁃,U+02043,Punctuation,hyphen-bullet
hyphen;,‐,U+02010,Punctuation,hyphen
Iacute;,Í,U+000CD,Latin Letters,I-acute
Iacute,Í,U+000CD,Latin Letters,I-acute
iacute;,í,U+000ED,Latin Letters,i-acute
iacute,í,U+000ED,Latin Letters,i-acute
ic;,⁣,U+02063,Punctuation,invisible-comma
Icirc;,Î,U+000CE,Latin Letters,I-circumflex
Icirc,Î,U+000CE,Latin Letters,I-circumflex
icirc;,î,U+000EE,Latin Letters,i-circumflex
icirc,î,U+000EE,Latin Letters,i-circumflex
Icy;,И,U+00418,Latin Letters,Cyrillic-I
icy;,и,U+00438,Latin Letters,Cyrillic-i
Idot;,İ,U+00130,Latin Letters,I-dot
IEcy;,Е,U+00415,Latin Letters,Cyrillic-IE
iecy;,е,U+00435,Latin Letters,Cyrillic-ie
iexcl;,¡,U+000A1,Punctuation,inverted-exclamation
iexcl,¡,U+000A1,Punctuation,inverted-exclamation
iff;,⇔,U+021D4,Arrows,if-and-only-if
Ifr;,ℑ,U+02111,Latin Letters,I-fraktur
ifr;,𝔦,U+1D526,Latin Letters,i-fraktur
Igrave;,Ì,U+000CC,Latin Letters,I-grave
Igrave,Ì,U+000CC,Latin Letters,I-grave
igrave;,ì,U+000EC,Latin Letters,i-grave
igrave,ì,U+000EC,Latin Letters,i-grave
ii;,ⅈ,U+02148,Latin Letters,imaginary-i
iiiint;,⨌,U+02A0C,Mathematical Symbols,quadruple-integral
iiint;,∭,U+0222D,Mathematical Symbols,triple-integral
iinfin;,⧜,U+029DC,Technical Symbols,infinite-integral
iiota;,℩,U+02129,Latin Letters,iota
IJlig;,Ĳ,U+00132,Latin Letters,IJ-ligature
ijlig;,ĳ,U+00133,Latin Letters,ij-ligature
Im;,ℑ,U+02111,Latin Letters,imaginary
Imacr;,Ī,U+0012A,Latin Letters,I-macron
imacr;,ī,U+0012B,Latin Letters,i-macron
image;,ℑ,U+02111,Latin Letters,imaginary
ImaginaryI;,ⅈ,U+02148,Latin Letters,imaginary-i
imagline;,ℐ,U+02110,Latin Letters,imaginary-line
imagpart;,ℑ,U+02111,Latin Letters,imaginary-part
imath;,ı,U+00131,Latin Letters,dotless-i
imof;,⊷,U+022B7,Mathematical Symbols,image-of
imped;,Ƶ,U+001B5,Latin Letters,impedance
Implies;,⇒,U+021D2,Arrows,implies
in;,∈,U+02208,Mathematical Symbols,element
incare;,℅,U+02105,Latin Letters,in-care-of
infin;,∞,U+0221E,Mathematical Symbols,infinity
infintie;,⧝,U+029DD,Technical Symbols,infinite-tie
inodot;,ı,U+00131,Latin Letters,dotless-i
Int;,∬,U+0222C,Mathematical Symbols,double-integral
int;,∫,U+0222B,Mathematical Symbols,integral
intcal;,⊺,U+022BA,Mathematical Symbols,intercalate
integers;,ℤ,U+02124,Latin Letters,integers
Integral;,∫,U+0222B,Mathematical Symbols,integral
intercal;,⊺,U+022BA,Mathematical Symbols,intercalate
Intersection;,⋂,U+022C2,Mathematical Symbols,intersection
intlarhk;,⨗,U+02A17,Mathematical Symbols,integral-hook
intprod;,⨼,U+02A3C,Mathematical Symbols,integral-product
InvisibleComma;,⁣,U+02063,Punctuation,invisible-comma
InvisibleTimes;,⁢,U+02062,Punctuation,invisible-times
IOcy;,Ё,U+00401,Latin Letters,Cyrillic-IO
iocy;,ё,U+00451,Latin Letters,Cyrillic-io
Iogon;,Į,U+0012E,Latin Letters,I-ogonek
iogon;,į,U+0012F,Latin Letters,i-ogonek
Iopf;,𝕀,U+1D540,Latin Letters,I-double-struck
iopf;,𝕚,U+1D55A,Latin Letters,i-double-struck
Iota;,Ι,U+00399,Greek Letters,Iota
iota;,ι,U+003B9,Greek Letters,iota
iprod;,⨼,U+02A3C,Mathematical Symbols,integral-product
iquest;,¿,U+000BF,Punctuation,inverted-question
iquest,¿,U+000BF,Punctuation,inverted-question
Iscr;,ℐ,U+02110,Latin Letters,I-script
iscr;,𝒾,U+1D4BE,Latin Letters,i-script
isin;,∈,U+02208,Mathematical Symbols,element
isindot;,⋵,U+022F5,Mathematical Symbols,element-dot
isinE;,⋹,U+022F9,Mathematical Symbols,element-e
isins;,⋴,U+022F4,Mathematical Symbols,element-s
isinsv;,⋳,U+022F3,Mathematical Symbols,element-sv
isinv;,∈,U+02208,Mathematical Symbols,element
it;,⁢,U+02062,Punctuation,invisible-times
Itilde;,Ĩ,U+00128,Latin Letters,I-tilde
itilde;,ĩ,U+00129,Latin Letters,i-tilde
Iukcy;,І,U+00406,Latin Letters,Cyrillic-I
iukcy;,і,U+00456,Latin Letters,Cyrillic-i
Iuml;,Ï,U+000CF,Latin Letters,I-diaeresis
Iuml,Ï,U+000CF,Latin Letters,I-diaeresis
iuml;,ï,U+000EF,Latin Letters,i-diaeresis
iuml,ï,U+000EF,Latin Letters,i-diaeresis
Jcirc;,Ĵ,U+00134,Latin Letters,J-circumflex
jcirc;,ĵ,U+00135,Latin Letters,j-circumflex
Jcy;,Й,U+00419,Latin Letters,Cyrillic-J
Jfr;,𝔍,U+1D50D,Latin Letters,J-fraktur
jfr;,𝔧,U+1D527,Latin Letters,j-fraktur
jmath;,ȷ,U+00237,Latin Letters,j-math
Jopf;,𝕁,U+1D541,Latin Letters,J-double-struck
jopf;,𝕛,U+1D55B,Latin Letters,j-double-struck
Jscr;,𝒥,U+1D4A5,Latin Letters,J-script
jscr;,𝒿,U+1D4BF,Latin Letters,j-script
Jsercy;,Ј,U+00408,Latin Letters,Cyrillic-JE
jsercy;,ј,U+00458,Latin Letters,Cyrillic-je
Jukcy;,Є,U+00404,Latin Letters,Cyrillic-JU
jukcy;,є,U+00454,Latin Letters,Cyrillic-ju
Kappa;,Κ,U+0039A,Greek Letters,Kappa
kappa;,κ,U+003BA,Greek Letters,kappa
kappav;,ϰ,U+003F0,Greek Letters,kappa-var
Kcedil;,Ķ,U+00136,Latin Letters,K-cedilla
kcedil;,ķ,U+00137,Latin Letters,k-cedilla
Kcy;,К,U+0041A,Latin Letters,Cyrillic-K
kcy;,к,U+0043A,Latin Letters,Cyrillic-k
Kfr;,𝔎,U+1D50E,Latin Letters,K-fraktur
kfr;,𝔨,U+1D528,Latin Letters,k-fraktur
kgreen;,ĸ,U+00138,Latin Letters,k-greenlandic
KHcy;,Х,U+00425,Latin Letters,Cyrillic-KH
khcy;,х,U+00445,Latin Letters,Cyrillic-kh
KJcy;,Ќ,U+0040C,Latin Letters,Cyrillic-KJ
kjcy;,ќ,U+0045C,Latin Letters,Cyrillic-kj
Kopf;,𝕂,U+1D542,Latin Letters,K-double-struck
kopf;,𝕜,U+1D55C,Latin Letters,k-double-struck
Kscr;,𝒦,U+1D4A6,Latin Letters,K-script
kscr;,𝓀,U+1D4C0,Latin Letters,k-script
lAarr;,⇚,U+021DA,Arrows,left-arrow
Lacute;,Ĺ,U+00139,Latin Letters,L-acute
lacute;,ĺ,U+0013A,Latin Letters,l-acute
laemptyv;,⦴,U+029B4,Technical Symbols,empty-set
lagran;,ℒ,U+02112,Latin Letters,Lagrange
Lambda;,Λ,U+0039B,Greek Letters,Lambda
lambda;,λ,U+003BB,Greek Letters,lambda
Lang;,⟪,U+027EA,Technical Symbols,left-angle
lang;,⟨,U+027E8,Technical Symbols,left-angle
langd;,⦑,U+02991,Technical Symbols,left-angle
langle;,⟨,U+027E8,Technical Symbols,left-angle
lap;,⪅,U+02A85,Mathematical Symbols,less-approx
Laplacetrf;,ℒ,U+02112,Latin Letters,Laplace-transform
laquo;,«,U+000AB,Punctuation,left-quote
laquo,«,U+000AB,Punctuation,left-quote
Larr;,↞,U+0219E,Arrows,left-arrow
lArr;,⇐,U+021D0,Arrows,left-arrow
larr;,←,U+02190,Arrows,left-arrow
larrb;,⇤,U+021E4,Arrows,left-arrow-bar
larrbfs;,⤟,U+0291F,Arrows,left-arrow-bar
larrfs;,⤝,U+0291D,Arrows,left-arrow
larrhk;,↩,U+021A9,Arrows,left-arrow-hook
larrlp;,↫,U+021AB,Arrows,left-arrow-loop
larrpl;,⤹,U+02939,Arrows,left-arrow
larrsim;,⥳,U+02973,Arrows,left-arrow-similar
larrtl;,↢,U+021A2,Arrows,left-arrow-tail
lat;,⪫,U+02AAB,Mathematical Symbols,less-than
lAtail;,⤛,U+0291B,Arrows,left-arrow-tail
latail;,⤙,U+02919,Arrows,left-arrow-tail
late;,⪭,U+02AAD,Mathematical Symbols,less-than-equal
lates;,⪭︀,U+02AAD U+0FE00,Mathematical Symbols,less-than-equal
lBarr;,⤎,U+0290E,Arrows,left-arrow
lbarr;,⤌,U+0290C,Arrows,left-arrow
lbbrk;,❲,U+02772,Technical Symbols,left-bracket
lbrace;,{,U+0007B,Punctuation,left-brace
lbrack;,[,U+0005B,Punctuation,left-bracket
lbrke;,⦋,U+0298B,Technical Symbols,left-bracket
lbrksld;,⦏,U+0298F,Technical Symbols,left-bracket
lbrkslu;,⦍,U+0298D,Technical Symbols,left-bracket
Lcaron;,Ľ,U+0013D,Latin Letters,L-caron
lcaron;,ľ,U+0013E,Latin Letters,l-caron
Lcedil;,Ļ,U+0013B,Latin Letters,L-cedilla
lcedil;,ļ,U+0013C,Latin Letters,l-cedilla
lceil;,⌈,U+02308,Technical Symbols,left-ceiling
lcub;,{,U+0007B,Punctuation,left-brace
Lcy;,Л,U+0041B,Latin Letters,Cyrillic-L
lcy;,л,U+0043B,Latin Letters,Cyrillic-l
ldca;,⤶,U+02936,Arrows,left-arrow
ldquo;,“,U+0201C,Punctuation,left-quote
ldquor;,„,U+0201E,Punctuation,left-quote
ldrdhar;,⥧,U+02967,Arrows,left-arrow
ldrushar;,⥋,U+0294B,Arrows,left-arrow
ldsh;,↲,U+021B2,Arrows,left-arrow
lE;,≦,U+02266,Mathematical Symbols,less-equal
le;,≤,U+02264,Mathematical Symbols,less-equal
LeftAngleBracket;,⟨,U+027E8,Technical Symbols,left-angle
LeftArrow;,←,U+02190,Arrows,left-arrow
Leftarrow;,⇐,U+021D0,Arrows,left-arrow
leftarrow;,←,U+02190,Arrows,left-arrow
LeftArrowBar;,⇤,U+021E4,Arrows,left-arrow-bar
LeftArrowRightArrow;,⇆,U+021C6,Arrows,left-right-arrow
leftarrowtail;,↢,U+021A2,Arrows,left-arrow-tail
LeftCeiling;,⌈,U+02308,Technical Symbols,left-ceiling
LeftDoubleBracket;,⟦,U+027E6,Technical Symbols,left-bracket
LeftDownTeeVector;,⥡,U+02961,Arrows,left-arrow
LeftDownVector;,⇃,U+021C3,Arrows,left-arrow
LeftDownVectorBar;,⥙,U+02959,Arrows,left-arrow
LeftFloor;,⌊,U+0230A,Technical Symbols,left-floor
leftharpoondown;,↽,U+021BD,Arrows,left-arrow
leftharpoonup;,↼,U+021BC,Arrows,left-arrow
leftleftarrows;,⇇,U+021C7,Arrows,left-arrow
LeftRightArrow;,↔,U+02194,Arrows,left-right-arrow
Leftrightarrow;,⇔,U+021D4,Arrows,left-right-arrow
leftrightarrow;,↔,U+02194,Arrows,left-right-arrow
leftrightarrows;,⇆,U+021C6,Arrows,left-right-arrow
leftrightharpoons;,⇋,U+021CB,Arrows,left-right-arrow
leftrightsquigarrow;,↭,U+021AD,Arrows,left-right-arrow
LeftRightVector;,⥎,U+0294E,Arrows,left-right-arrow
LeftTee;,⊣,U+022A3,Mathematical Symbols,left-tee
LeftTeeArrow;,↤,U+021A4,Arrows,left-arrow
LeftTeeVector;,⥚,U+0295A,Arrows,left-arrow
leftthreetimes;,⋋,U+022CB,Mathematical Symbols,left-three-times
LeftTriangle;,⊲,U+022B2,Mathematical Symbols,left-triangle
LeftTriangleBar;,⧏,U+029CF,Mathematical Symbols,left-triangle
LeftTriangleEqual;,⊴,U+022B4,Mathematical Symbols,left-triangle-equal
LeftUpDownVector;,⥑,U+02951,Arrows,left-arrow
LeftUpTeeVector;,⥠,U+02960,Arrows,left-arrow
LeftUpVector;,↿,U+021BF,Arrows,left-arrow
LeftUpVectorBar;,⥘,U+02958,Arrows,left-arrow
LeftVector;,↼,U+021BC,Arrows,left-arrow
LeftVectorBar;,⥒,U+02952,Arrows,left-arrow
lEg;,⪋,U+02A8B,Mathematical Symbols,less-equal-greater
leg;,⋚,U+022DA,Mathematical Symbols,less-equal-greater
leq;,≤,U+02264,Mathematical Symbols,less-equal
leqq;,≦,U+02266,Mathematical Symbols,less-equal
leqslant;,⩽,U+02A7D,Mathematical Symbols,less-equal-slant
les;,⩽,U+02A7D,Mathematical Symbols,less-equal-slant
lescc;,⪨,U+02AA8,Mathematical Symbols,less-equal-closed
lesdot;,⩿,U+02A7F,Mathematical Symbols,less-equal-dot
lesdoto;,⪁,U+02A81,Mathematical Symbols,less-equal-dot-open
lesdotor;,⪃,U+02A83,Mathematical Symbols,less-equal-dot-open-right
lesg;,⋚︀,U+022DA U+0FE00,Mathematical Symbols,less-equal-greater
lesges;,⪓,U+02A93,Mathematical Symbols,less-equal-greater
lessapprox;,⪅,U+02A85,Mathematical Symbols,less-approx
lessdot;,⋖,U+022D6,Mathematical Symbols,less-dot
lesseqgtr;,⋚,U+022DA,Mathematical Symbols,less-equal-greater
lesseqqgtr;,⪋,U+02A8B,Mathematical Symbols,less-equal-greater
LessEqualGreater;,⋚,U+022DA,Mathematical Symbols,less-equal-greater
LessFullEqual;,≦,U+02266,Mathematical Symbols,less-full-equal
LessGreater;,≶,U+02276,Mathematical Symbols,less-greater
lessgtr;,≶,U+02276,Mathematical Symbols,less-greater
LessLess;,⪡,U+02AA1,Mathematical Symbols,less-less
